"","Date received","Product","Sub-product","Issue","Sub-issue","Consumer complaint narrative","Company public response","Company","State","ZIP code","Tags","Consumer consent provided?","Submitted via","Date sent to company","Company response to consumer","Timely response?","Consumer disputed?","Complaint ID"
"1",2013-07-29,"Consumer Loan","Vehicle loan","Managing the loan or lease","Other","Other","Other","Wells Fargo & Company","VA","24540","Other","Other","Phone",2013-07-30,"Closed with explanation","Yes","No",468882
"2",2013-07-29,"Bank account or service","Checking account","Using a debit or ATM card","Other","Other","Other","Wells Fargo & Company","CA","95992","Older American","Other","Web",2013-07-31,"Closed with explanation","Yes","No",468889
"3",2013-07-29,"Bank account or service","Checking account","Account opening, closing, or management","Other","Other","Other","Santander Bank US","NY","10065","Other","Other","Fax",2013-07-31,"Closed","Yes","No",468879
"4",2013-07-29,"Bank account or service","Checking account","Deposits and withdrawals","Other","Other","Other","Wells Fargo & Company","GA","30084","Other","Other","Web",2013-07-30,"Closed with explanation","Yes","No",468949
"5",2013-07-29,"Mortgage","Conventional fixed mortgage","Loan servicing, payments, escrow account","Other","Other","Other","Franklin Credit Management","CT","6106","Other","Other","Web",2013-07-30,"Closed with explanation","Yes","No",475823
"6",2013-07-29,"Bank account or service","Checking account","Deposits and withdrawals","Other","Other","Other","Bank of America","TX","75025","Other","Other","Web",2013-07-30,"Closed with explanation","Yes","No",468981
"7",2013-07-29,"Debt collection","Other (i.e. phone, health club, etc.)","Cont'd attempts collect debt not owed","Debt is not mine","Other","Other","NRA Group, LLC","VA","20147","Other","Other","Web",2013-08-07,"Closed with non-monetary relief","Yes","No",467801
"8",2013-07-29,"Debt collection","I do not know","Cont'd attempts collect debt not owed","Debt was paid","Other","Other","SunTrust Banks, Inc.","FL","32818","Other","Other","Referral",2013-08-01,"Closed with explanation","Yes","Yes",475728
"9",2013-07-29,"Credit card","Other","Billing statement","Other","Other","Other","Citibank","OH","45247","Other","Other","Referral",2013-07-30,"Closed with explanation","Yes","Yes",469026
"10",2013-07-29,"Mortgage","Other mortgage","Loan servicing, payments, escrow account","Other","Other","Other","Wells Fargo & Company","NV","89511","Other","Other","Referral",2013-07-30,"Closed with explanation","Yes","Yes",469035
"11",2013-07-29,"Mortgage","Other mortgage","Loan modification,collection,foreclosure","Other","Other","Other","Bank of America","NC","27949","Other","Other","Referral",2013-07-30,"Closed with non-monetary relief","Yes","No",469037
"12",2013-07-29,"Mortgage","Other mortgage","Loan servicing, payments, escrow account","Other","Other","Other","JPMorgan Chase & Co.","CA","90703","Other","Other","Referral",2013-07-30,"Closed with explanation","Yes","No",469284
"13",2013-07-29,"Mortgage","Other mortgage","Loan modification,collection,foreclosure","Other","Other","Other","Citibank","CA","95821","Other","Other","Referral",2013-07-31,"Closed with explanation","Yes","Yes",480488
"14",2013-07-29,"Debt collection","Credit card","Communication tactics","Frequent or repeated calls","Other","Other","Asset Management Professionals, LLC","PA","19145","Older American","Other","Phone",2013-08-01,"Closed with explanation","No","Other",468904
"15",2013-07-29,"Debt collection","Credit card","Communication tactics","Frequent or repeated calls","Other","Other","Wells Fargo & Company","PA","19145","Older American","Other","Phone",2013-08-01,"Closed with non-monetary relief","Yes","No",468905
"16",2013-07-29,"Mortgage","Conventional fixed mortgage","Loan modification,collection,foreclosure","Other","Other","Other","JPMorgan Chase & Co.","NY","14092","Other","Other","Phone",2013-07-31,"Closed with explanation","Yes","No",469057
"17",2013-07-29,"Mortgage","Conventional fixed mortgage","Loan modification,collection,foreclosure","Other","Other","Other","Ocwen","FL","33426","Other","Other","Web",2013-07-31,"Closed with explanation","Yes","Yes",469060
"18",2013-07-29,"Mortgage","Conventional fixed mortgage","Loan modification,collection,foreclosure","Other","Other","Other","JPMorgan Chase & Co.","NY","10019","Other","Other","Web",2013-07-30,"Closed with explanation","Yes","Yes",469070
"19",2013-07-29,"Mortgage","Conventional fixed mortgage","Loan servicing, payments, escrow account","Other","Other","Other","Citibank","NJ","7604","Other","Other","Web",2013-07-30,"Closed with explanation","Yes","No",472236
"20",2013-07-29,"Credit card","Other","APR or interest rate","Other","Other","Other","Synchrony Financial","WA","98548","Other","Other","Web",2013-07-29,"Closed with monetary relief","Yes","No",469131
"21",2013-07-29,"Credit reporting","Other","Credit monitoring or identity protection","Problem cancelling or closing account","Other","Other","Experian","CA","90034","Other","Other","Web",2013-07-29,"Closed with monetary relief","Yes","No",474204
"22",2013-07-29,"Mortgage","Conventional adjustable mortgage (ARM)","Loan modification,collection,foreclosure","Other","Other","Other","Bank of America","HI","96793","Other","Other","Web",2013-07-31,"Closed with explanation","Yes","No",469138
"23",2013-07-29,"Mortgage","Other mortgage","Application, originator, mortgage broker","Other","Other","Other","JPMorgan Chase & Co.","FL","32825","Other","Other","Postal mail",2013-07-30,"Closed with explanation","Yes","No",469143
"24",2013-07-29,"Mortgage","Conventional fixed mortgage","Application, originator, mortgage broker","Other","Other","Other","Wells Fargo & Company","NY","10605","Other","Other","Web",2013-07-31,"Closed with non-monetary relief","Yes","No",480173
"25",2013-07-29,"Mortgage","Other mortgage","Loan modification,collection,foreclosure","Other","Other","Other","Ocwen","NY","14467","Other","Other","Referral",2013-07-30,"Closed with explanation","Yes","Yes",469360
"26",2013-07-29,"Mortgage","Other mortgage","Loan servicing, payments, escrow account","Other","Other","Other","U.S. Bancorp","CA","92591","Other","Other","Referral",2013-07-31,"Closed with monetary relief","Yes","No",469632
"27",2013-07-29,"Mortgage","Conventional adjustable mortgage (ARM)","Application, originator, mortgage broker","Other","Other","Other","Bank of America","IL","60443","Other","Other","Web",2013-08-01,"Closed with explanation","Yes","No",469173
"28",2013-07-29,"Bank account or service","Other bank product/service","Deposits and withdrawals","Other","Other","Other","Wells Fargo & Company","CA","96088","Other","Other","Web",2013-08-01,"Closed with explanation","Yes","No",469185
"29",2013-07-29,"Credit reporting","Other","Incorrect information on credit report","Public record","Other","Other","Equifax","CA","91605","Other","Other","Web",2013-07-29,"Closed with non-monetary relief","Yes","No",469201
"30",2013-07-29,"Debt collection","Other (i.e. phone, health club, etc.)","Cont'd attempts collect debt not owed","Debt was paid","Other","Other","Northland Group, Inc.","FL","32233","Servicemember","Other","Referral",2013-08-01,"Closed with explanation","Yes","No",469252
"31",2013-07-29,"Mortgage","Other mortgage","Loan modification,collection,foreclosure","Other","Other","Other","SunTrust Banks, Inc.","FL","32084","Other","Other","Referral",2013-08-02,"Closed with non-monetary relief","Yes","No",469863
"32",2013-07-29,"Mortgage","Conventional adjustable mortgage (ARM)","Loan modification,collection,foreclosure","Other","Other","Other","Bank of America","FL","33234","Other","Other","Web",2013-07-30,"Closed with non-monetary relief","Yes","No",469255
"33",2013-07-29,"Mortgage","Other mortgage","Loan servicing, payments, escrow account","Other","Other","Other","SunTrust Banks, Inc.","FL","32505","Other","Other","Referral",2013-08-02,"Closed","Yes","No",469811
"34",2013-07-29,"Consumer Loan","Vehicle loan","Managing the loan or lease","Other","Other","Other","Santander Consumer USA Holdings Inc","CA","92677","Other","Other","Referral",2013-08-05,"Closed","Yes","Yes",479329
"35",2013-07-29,"Mortgage","Other mortgage","Loan modification,collection,foreclosure","Other","Other","Other","Land/Home Financial Services","MI","48382","Other","Other","Fax",2013-08-06,"Closed with explanation","No","Other",454668
"36",2013-07-29,"Bank account or service","Checking account","Deposits and withdrawals","Other","Other","Other","JPMorgan Chase & Co.","NJ","8530","Other","Other","Postal mail",2013-07-30,"Closed with monetary relief","Yes","No",475273
"37",2013-07-29,"Credit card","Other","Delinquent account","Other","Other","Other","Amex","TX","78232","Other","Other","Web",2013-07-29,"Closed with monetary relief","Yes","No",479990
"38",2013-07-29,"Mortgage","FHA mortgage","Loan modification,collection,foreclosure","Other","Other","Other","Nationstar Mortgage","GA","30041","Other","Other","Web",2013-07-30,"Closed with explanation","Yes","No",469293
"39",2013-07-29,"Bank account or service","(CD) Certificate of deposit","Account opening, closing, or management","Other","Other","Other","Wells Fargo & Company","TX","77381","Other","Other","Postal mail",2013-07-30,"Closed with explanation","Yes","No",469309
"40",2013-07-29,"Mortgage","Conventional adjustable mortgage (ARM)","Loan modification,collection,foreclosure","Other","Other","Other","Ocwen","MA","2368","Other","Other","Web",2013-07-30,"Closed with explanation","Yes","No",469334
"41",2013-07-29,"Mortgage","Conventional fixed mortgage","Loan servicing, payments, escrow account","Other","Other","Other","CIT Bank National Association","NY","11101","Other","Other","Web",2013-07-31,"Closed with explanation","Yes","No",469487
"42",2013-07-29,"Mortgage","Other mortgage","Loan servicing, payments, escrow account","Other","Other","Other","Bank of America","CA","91701","Other","Other","Web",2013-08-01,"Closed with explanation","Yes","No",469394
"43",2013-07-29,"Debt collection","I do not know","Communication tactics","Frequent or repeated calls","Other","Other","Alpine Financial Solutions, Inc.","KY","42303","Older American","Other","Postal mail",2013-12-04,"Closed with explanation","Yes","No",469408
"44",2013-07-29,"Mortgage","Conventional fixed mortgage","Loan servicing, payments, escrow account","Other","Other","Other","Ditech Financial LLC","TN","37218","Other","Other","Web",2013-07-30,"Closed with explanation","Yes","No",469411
"45",2013-07-29,"Bank account or service","Checking account","Problems caused by my funds being low","Other","Other","Other","Wells Fargo & Company","NJ","8618","Older American","Other","Phone",2013-07-30,"Closed with explanation","Yes","No",469414
"46",2013-07-29,"Mortgage","FHA mortgage","Loan modification,collection,foreclosure","Other","Other","Other","Citibank","GA","30135","Other","Other","Web",2013-07-30,"Closed with explanation","Yes","No",469423
"47",2013-07-29,"Credit reporting","Other","Improper use of my credit report","Report improperly shared by CRC","Other","Other","Equifax","MO","64725","Other","Other","Fax",2013-07-29,"Closed with explanation","Yes","No",479282
"48",2013-07-29,"Mortgage","Conventional fixed mortgage","Settlement process and costs","Other","Other","Other","U.S. Bancorp","MN","55414","Other","Other","Web",2013-08-01,"Closed with non-monetary relief","Yes","No",469428
"49",2013-07-29,"Credit card","Other","Billing disputes","Other","Other","Other","Capital One","FL","32226","Servicemember","Other","Web",2013-07-29,"Closed with explanation","Yes","No",475777
"50",2013-07-29,"Bank account or service","Checking account","Deposits and withdrawals","Other","Other","Other","Wells Fargo & Company","CA","92277","Other","Other","Web",2013-08-05,"Closed with explanation","Yes","No",469446
"51",2013-07-29,"Bank account or service","Checking account","Account opening, closing, or management","Other","Other","Other","First Tennessee Bank","TN","37806","Servicemember","Other","Phone",2013-07-30,"Closed with explanation","Yes","Yes",469447
"52",2013-07-29,"Student loan","Non-federal student loan","Repaying your loan","Repaying your loan","Other","Other","Discover","MA","2043","Other","Other","Web",2013-07-30,"Closed with explanation","Yes","No",467427
"53",2013-07-29,"Mortgage","Conventional fixed mortgage","Loan modification,collection,foreclosure","Other","Other","Other","Wells Fargo & Company","CA","91741","Other","Other","Phone",2013-07-30,"Closed with explanation","Yes","No",464039
"54",2013-07-29,"Mortgage","Conventional fixed mortgage","Application, originator, mortgage broker","Other","Other","Other","Bank of America","CA","91320","Other","Other","Web",2013-07-31,"Closed with explanation","Yes","No",469461
"55",2013-07-29,"Credit card","Other","Credit line increase/decrease","Other","Other","Other","Citibank","WI","53066","Older American","Other","Phone",2013-07-30,"Closed with explanation","Yes","Yes",469473
"56",2013-07-29,"Mortgage","Other mortgage","Loan modification,collection,foreclosure","Other","Other","Other","Ocwen","CA","95765","Other","Other","Web",2013-07-30,"Closed with explanation","Yes","Yes",469479
"57",2013-07-29,"Mortgage","Other mortgage","Loan modification,collection,foreclosure","Other","Other","Other","CIT Bank National Association","CA","95363","Other","Other","Phone",2013-07-31,"Closed","Yes","No",469499
"58",2013-07-29,"Debt collection","Credit card","Communication tactics","Threatened to take legal action","Other","Other","Borenstein & Associates, LLC","WY","82605","Other","Other","Web",2013-09-17,"Closed","Yes","No",469501
"59",2013-07-29,"Mortgage","Conventional fixed mortgage","Settlement process and costs","Other","Other","Other","Houston Home Loan, Inc.","TX","77386","Other","Other","Web",2013-08-30,"Closed with explanation","Yes","Yes",469513
"60",2013-07-29,"Mortgage","Other mortgage","Loan servicing, payments, escrow account","Other","Other","Other","Ocwen","NY","10038","Other","Other","Web",2013-08-13,"Closed","Yes","No",480183
"61",2013-07-29,"Mortgage","Conventional fixed mortgage","Loan servicing, payments, escrow account","Other","Other","Other","Ocwen","VA","24112","Older American","Other","Web",2013-07-30,"Closed with explanation","Yes","No",469525
"62",2013-07-29,"Bank account or service","Other bank product/service","Problems caused by my funds being low","Other","Other","Other","Bank of America","NY","11716","Older American, Servicemember","Other","Phone",2013-08-01,"Closed with explanation","Yes","No",469537
"63",2013-07-29,"Credit reporting","Other","Incorrect information on credit report","Information is not mine","Other","Other","Fidelity National Information Services, Inc. (FNIS)","CT","6514","Other","Other","Referral",2013-08-21,"Closed with explanation","Yes","No",469507
"64",2013-07-29,"Bank account or service","Checking account","Deposits and withdrawals","Other","Other","Other","People's United Bank","CT","6514","Other","Other","Referral",2013-07-31,"Closed with explanation","Yes","No",469508
"65",2013-07-29,"Mortgage","Home equity loan or line of credit","Loan servicing, payments, escrow account","Other","Other","Other","Citizens Financial Group, Inc.","VT","5770","Servicemember","Other","Web",2013-08-01,"Closed with non-monetary relief","Yes","No",469589
"66",2013-07-30,"Consumer Loan","Vehicle lease","Managing the loan or lease","Other","Other","Other","Ally Financial Inc.","MI","48238","Other","Other","Fax",2013-08-01,"Closed with explanation","Yes","No",469241
"67",2013-07-29,"Consumer Loan","Vehicle lease","Managing the loan or lease","Other","Other","Other","Asset Management Outsourcing, Inc.","NY","11030","Other","Other","Web",2013-07-31,"Closed with explanation","Yes","No",469606
"68",2013-07-30,"Credit card","Other","Payoff process","Other","Other","Other","Wells Fargo & Company","NV","89108","Servicemember","Other","Phone",2013-08-02,"Closed with explanation","Yes","No",470828
"69",2013-07-30,"Mortgage","Conventional adjustable mortgage (ARM)","Loan modification,collection,foreclosure","Other","Other","Other","Bank of America","CA","95219","Other","Other","Web",2013-07-31,"Closed with non-monetary relief","Yes","No",470831
"70",2013-07-29,"Bank account or service","Checking account","Deposits and withdrawals","Other","Other","Other","TD Bank US Holding Company","NJ","7656","Other","Other","Postal mail",2013-07-31,"Closed with monetary relief","Yes","No",480463
"71",2013-07-29,"Credit reporting","Other","Unable to get credit report/credit score","Problem getting my free annual report","Other","Other","TransUnion Intermediate Holdings, Inc.","CO","80247","Other","Other","Web",2013-07-29,"Closed with non-monetary relief","Yes","No",479873
"72",2013-07-30,"Bank account or service","Checking account","Using a debit or ATM card","Other","Other","Other","JPMorgan Chase & Co.","NY","11772","Other","Other","Web",2013-08-01,"Closed with explanation","Yes","No",472678
"73",2013-07-29,"Bank account or service","Checking account","Deposits and withdrawals","Other","Other","Other","Wells Fargo & Company","FL","33326","Other","Other","Web",2013-07-31,"Closed with explanation","Yes","No",469641
"74",2013-07-30,"Bank account or service","Savings account","Deposits and withdrawals","Other","Other","Other","JPMorgan Chase & Co.","NY","10469","Other","Other","Web",2013-08-01,"Closed with explanation","Yes","No",470665
"75",2013-07-30,"Credit card","Other","Closing/Cancelling account","Other","Other","Other","Citibank","TX","78249","Other","Other","Web",2013-07-30,"Closed with explanation","Yes","Yes",470852
"76",2013-07-31,"Bank account or service","Checking account","Account opening, closing, or management","Other","Other","Other","Wells Fargo & Company","GA","30680","Other","Other","Web",2013-08-01,"Closed with non-monetary relief","Yes","Yes",470863
"77",2013-07-29,"Mortgage","Other mortgage","Loan modification,collection,foreclosure","Other","Other","Other","Bank of America","MI","49042","Other","Other","Referral",2013-08-02,"Closed with explanation","Yes","No",469653
"78",2013-07-29,"Mortgage","Other mortgage","Loan modification,collection,foreclosure","Other","Other","Other","Ocwen","NY","11230","Other","Other","Referral",2013-07-30,"Closed with explanation","Yes","No",455630
"79",2013-07-29,"Mortgage","Other mortgage","Loan modification,collection,foreclosure","Other","Other","Other","Wells Fargo & Company","CA","95020","Other","Other","Referral",2013-07-31,"Closed with explanation","Yes","No",469660
"80",2013-07-29,"Mortgage","Home equity loan or line of credit","Loan modification,collection,foreclosure","Other","Other","Other","JPMorgan Chase & Co.","AZ","85138","Other","Other","Referral",2013-07-30,"Closed with explanation","Yes","Yes",467092
"81",2013-07-29,"Mortgage","Other mortgage","Loan modification,collection,foreclosure","Other","Other","Other","Wells Fargo & Company","NY","10803","Other","Other","Referral",2013-07-30,"Closed with explanation","Yes","Yes",469664
"82",2013-07-29,"Credit reporting","Other","Incorrect information on credit report","Account status","Other","Other","Ocwen","MA","2126","Other","Other","Referral",2013-08-01,"Closed","Yes","No",469666
"83",2013-07-31,"Credit card","Other","Billing statement","Other","Other","Other","JPMorgan Chase & Co.","DE","19809","Other","Other","Web",2013-07-30,"Closed with monetary relief","Yes","No",479338
"84",2013-07-31,"Bank account or service","Checking account","Deposits and withdrawals","Other","Other","Other","Santander Bank US","NJ","7106","Other","Other","Web",2013-08-01,"Closed with explanation","Yes","No",470903
"85",2013-07-29,"Mortgage","Conventional adjustable mortgage (ARM)","Loan modification,collection,foreclosure","Other","Other","Other","HSBC North America Holdings Inc.","OH","44112","Older American","Other","Phone",2013-07-30,"Closed with explanation","Yes","No",469669
"86",2013-07-29,"Credit reporting","Other","Credit reporting company's investigation","Problem with statement of dispute","Other","Other","Experian","NY","14622","Other","Other","Web",2013-07-31,"Closed with explanation","Yes","No",469670
"87",2013-07-31,"Debt collection","Credit card","Taking/threatening an illegal action","Sued w/o proper notification of suit","Other","Other","Encore Capital Group","NY","14212","Other","Other","Web",2013-07-30,"Closed with explanation","Yes","No",487029
"88",2013-07-29,"Mortgage","Conventional fixed mortgage","Loan servicing, payments, escrow account","Other","Other","Other","Ocwen","IN","47265","Older American","Other","Web",2013-07-30,"Closed with explanation","Yes","No",469678
"89",2013-07-30,"Debt collection","I do not know","Cont'd attempts collect debt not owed","Debt is not mine","Other","Other","Fidelity National Information Services, Inc. (FNIS)","CO","81302","Other","Other","Web",2013-09-17,"Closed with explanation","Yes","No",469732
"90",2013-07-31,"Credit card","Other","Payoff process","Other","Other","Other","Citibank","NJ","7018","Other","Other","Web",2013-07-30,"Closed with explanation","Yes","No",480935
"91",2013-07-31,"Mortgage","Conventional fixed mortgage","Loan modification,collection,foreclosure","Other","Other","Other","Bank of America","NY","14212","Other","Other","Web",2013-07-31,"Closed with explanation","Yes","Yes",493136
"92",2013-07-31,"Mortgage","Conventional adjustable mortgage (ARM)","Loan modification,collection,foreclosure","Other","Other","Other","Nationstar Mortgage","CA","95037","Other","Other","Web",2013-07-31,"Closed with explanation","Yes","Yes",454695
"93",2013-07-31,"Mortgage","Conventional adjustable mortgage (ARM)","Loan modification,collection,foreclosure","Other","Other","Other","Citibank","CA","90045","Other","Other","Web",2013-07-31,"Closed with explanation","Yes","No",748242
"94",2013-07-31,"Debt collection","Credit card","Cont'd attempts collect debt not owed","Debt is not mine","Other","Other","The Moore Law Group","CA","91711","Other","Other","Web",2013-07-30,"Closed with explanation","Yes","No",470913
"95",2013-07-30,"Debt collection","Other (i.e. phone, health club, etc.)","Cont'd attempts collect debt not owed","Debt was paid","Other","Other","Franklin Collection Service, Inc.","IL","60440","Other","Other","Phone",2013-08-01,"Closed with explanation","Yes","No",469711
"96",2013-07-31,"Mortgage","Conventional fixed mortgage","Loan servicing, payments, escrow account","Other","Other","Other","HSBC North America Holdings Inc.","FL","32747","Other","Other","Web",2013-07-31,"Closed with explanation","Yes","Yes",482443
"97",2013-07-30,"Mortgage","Conventional fixed mortgage","Loan servicing, payments, escrow account","Other","Other","Other","EverBank","TN","37217","Other","Other","Web",2013-07-30,"Closed with explanation","Yes","No",469734
"98",2013-07-31,"Credit reporting","Other","Incorrect information on credit report","Account status","Other","Other","TransUnion Intermediate Holdings, Inc.","DE","19668","Other","Other","Postal mail",2013-08-26,"Closed with explanation","Yes","No",501508
"99",2013-07-30,"Credit card","Other","Credit determination","Other","Other","Other","Wells Fargo & Company","CA","95409","Older American","Other","Web",2013-07-29,"Closed with explanation","Yes","No",469738
"100",2013-07-30,"Mortgage","Conventional adjustable mortgage (ARM)","Loan modification,collection,foreclosure","Other","Other","Other","JPMorgan Chase & Co.","CO","80206","Other","Other","Web",2013-07-30,"Closed with explanation","Yes","No",469739
"101",2013-07-30,"Credit card","Other","Credit determination","Other","Other","Other","Bank of America","FL","34983","Other","Other","Web",2013-07-31,"Closed with explanation","Yes","Yes",469752
"102",2013-07-30,"Debt collection","Other (i.e. phone, health club, etc.)","Cont'd attempts collect debt not owed","Debt was paid","Other","Other","Professional Debt Mediation, Inc.","FL","32304","Other","Other","Web",2013-09-19,"Closed with explanation","Yes","No",469753
"103",2013-07-30,"Debt collection","Mortgage","Communication tactics","Threatened to take legal action","Other","Other","Select Portfolio Servicing, Inc","NY","11234","Other","Other","Web",2013-07-29,"Closed with explanation","Yes","Yes",466892
"104",2013-07-30,"Credit card","Other","Identity theft / Fraud / Embezzlement","Other","Other","Other","Barclays PLC","SC","29412","Other","Other","Web",2013-07-29,"Closed with explanation","Yes","No",469755
"105",2013-07-31,"Credit reporting","Other","Incorrect information on credit report","Account terms","Other","Other","Capital One","GA","30126","Other","Other","Web",2013-08-02,"Closed with explanation","Yes","No",470928
"106",2013-07-30,"Mortgage","Conventional fixed mortgage","Loan modification,collection,foreclosure","Other","Other","Other","Bank of America","CA","91320","Other","Other","Web",2013-07-30,"Closed with explanation","Yes","No",476001
"107",2013-07-31,"Mortgage","Other mortgage","Loan modification,collection,foreclosure","Other","Other","Other","JPMorgan Chase & Co.","NC","28075","Servicemember","Other","Referral",2013-08-05,"Closed with explanation","Yes","No",470978
"108",2013-07-30,"Credit reporting","Other","Incorrect information on credit report","Account status","Other","Other","Experian","MN","55390","Other","Other","Postal mail",2013-08-12,"Closed with explanation","Yes","No",469777
"109",2013-07-30,"Credit reporting","Other","Incorrect information on credit report","Account status","Other","Other","Experian","IA","50325","Other","Other","Postal mail",2013-08-12,"Closed with explanation","Yes","No",469781
"110",2013-07-30,"Credit reporting","Other","Credit reporting company's investigation","No notice of investigation status/result","Other","Other","TransUnion Intermediate Holdings, Inc.","OH","43701","Other","Other","Web",2013-07-30,"Closed with explanation","Yes","Yes",479487
"111",2013-07-31,"Credit reporting","Other","Credit reporting company's investigation","No notice of investigation status/result","Other","Other","Experian","IL","60633","Other","Other","Postal mail",2013-08-02,"Closed with non-monetary relief","Yes","No",470951
"112",2013-07-31,"Debt collection","Other (i.e. phone, health club, etc.)","Improper contact or sharing of info","Talked to a third party about my debt","Other","Other","Receivables Performance Management LLC","NY","11205","Other","Other","Web",2013-07-31,"Closed with explanation","Yes","Yes",470955
"113",2013-07-30,"Mortgage","Other mortgage","Loan modification,collection,foreclosure","Other","Other","Other","Nationstar Mortgage","NC","28457","Other","Other","Referral",2013-07-31,"Closed with explanation","Yes","No",470012
"114",2013-07-30,"Mortgage","Other mortgage","Loan modification,collection,foreclosure","Other","Other","Other","JPMorgan Chase & Co.","AL","36526","Other","Other","Referral",2013-07-31,"Closed with explanation","Yes","No",470091
"115",2013-07-30,"Credit reporting","Other","Incorrect information on credit report","Account status","Other","Other","Equifax","NJ","7111","Other","Other","Referral",2013-08-19,"Closed with non-monetary relief","Yes","No",469792
"116",2013-07-31,"Credit reporting","Other","Credit reporting company's investigation","No notice of investigation status/result","Other","Other","TransUnion Intermediate Holdings, Inc.","IL","60633","Other","Other","Postal mail",2013-08-02,"Closed with explanation","Yes","No",470962
"117",2013-07-31,"Bank account or service","Checking account","Problems caused by my funds being low","Other","Other","Other","TD Bank US Holding Company","FL","33186","Other","Other","Referral",2013-08-02,"Closed with monetary relief","Yes","No",471071
"118",2013-07-31,"Mortgage","Other mortgage","Application, originator, mortgage broker","Other","Other","Other","U.S. Bancorp","WI","53130","Other","Other","Referral",2013-08-05,"Closed with explanation","Yes","No",470985
"119",2013-07-30,"Mortgage","Other mortgage","Loan modification,collection,foreclosure","Other","Other","Other","Wells Fargo & Company","CA","93111","Other","Other","Referral",2013-07-31,"Closed with explanation","Yes","No",470103
"120",2013-07-30,"Mortgage","Other mortgage","Loan modification,collection,foreclosure","Other","Other","Other","Citibank","AL","36854","Other","Other","Referral",2013-07-31,"Closed with monetary relief","Yes","No",470206
"121",2013-07-31,"Mortgage","Conventional fixed mortgage","Loan modification,collection,foreclosure","Other","Other","Other","Ocwen","FL","33558","Other","Other","Phone",2013-11-03,"Closed with explanation","Yes","No",470970
"122",2013-07-30,"Credit card","Other","APR or interest rate","Other","Other","Other","Amex","MA","2215","Other","Other","Referral",2013-08-02,"Closed with explanation","Yes","No",470132
"123",2013-07-30,"Debt collection","I do not know","Disclosure verification of debt","Not given enough info to verify debt","Other","Other","Convergent Resources, Inc.","NV","89074","Other","Other","Referral",2013-08-01,"Closed","Yes","No",469810
"124",2013-07-30,"Credit card","Other","Billing disputes","Other","Other","Other","Amex","NY","12060","Other","Other","Referral",2013-08-02,"Closed with explanation","Yes","Yes",470151
"125",2013-07-30,"Mortgage","Other mortgage","Loan servicing, payments, escrow account","Other","Other","Other","Bank of America","TX","78239","Other","Other","Fax",2013-07-31,"Closed with explanation","Yes","Yes",475278
"126",2013-07-31,"Credit card","Other","Transaction issue","Other","Other","Other","Discover","OR","97086","Other","Other","Referral",2013-08-02,"Closed with non-monetary relief","Yes","No",471053
"127",2013-07-31,"Mortgage","Other mortgage","Loan modification,collection,foreclosure","Other","Other","Other","Nationstar Mortgage","GA","30121","Other","Other","Referral",2013-09-19,"Closed with explanation","Yes","No",535169
"128",2013-07-30,"Mortgage","Conventional adjustable mortgage (ARM)","Loan servicing, payments, escrow account","Other","Other","Other","Ocwen","VA","20878","Other","Other","Web",2013-07-31,"Closed with explanation","Yes","No",474284
"129",2013-07-31,"Credit reporting","Other","Incorrect information on credit report","Account status","Other","Other","Equifax","MI","48439","Other","Other","Postal mail",2013-08-26,"Closed with explanation","Yes","No",471000
"130",2013-07-31,"Mortgage","Conventional fixed mortgage","Loan modification,collection,foreclosure","Other","Other","Other","Provident Funding","CT","6106","Other","Other","Web",2013-08-05,"Closed with explanation","Yes","No",474893
"131",2013-07-31,"Mortgage","Home equity loan or line of credit","Application, originator, mortgage broker","Other","Other","Other","Bank of America","NY","11581","Other","Other","Web",2013-08-05,"Closed with explanation","Yes","Yes",471014
"132",2013-07-31,"Credit card","Other","Balance transfer fee","Other","Other","Other","Discover","CA","91356","Other","Other","Web",2013-07-31,"Closed with non-monetary relief","Yes","No",470488
"133",2013-07-30,"Mortgage","Conventional fixed mortgage","Loan servicing, payments, escrow account","Other","Other","Other","Bank of America","GA","30121","Other","Other","Web",2013-07-31,"Closed with non-monetary relief","Yes","Yes",471164
"134",2013-07-31,"Mortgage","Conventional fixed mortgage","Loan servicing, payments, escrow account","Other","Other","Other","Specialized Loan Servicing LLC","CA","94565","Other","Other","Web",2013-08-05,"Closed","Yes","No",471015
"135",2013-07-30,"Bank account or service","Checking account","Account opening, closing, or management","Other","Other","Other","Bank of America","IL","60626","Other","Other","Phone",2013-07-31,"Closed with monetary relief","Yes","No",469836
"136",2013-07-31,"Credit reporting","Other","Incorrect information on credit report","Information is not mine","Other","Other","TransUnion Intermediate Holdings, Inc.","OR","97236","Other","Other","Postal mail",2013-08-20,"Closed with explanation","Yes","No",471021
"137",2013-07-30,"Mortgage","Conventional fixed mortgage","Loan servicing, payments, escrow account","Other","Other","Other","Bank of America","OK","73053","Older American","Other","Web",2013-07-30,"Closed with explanation","Yes","No",468212
"138",2013-07-30,"Mortgage","Reverse mortgage","Loan modification,collection,foreclosure","Other","Other","Other","CIT Bank National Association","FL","34237","Other","Other","Referral",2013-07-31,"Closed with explanation","Yes","Yes",479907
"139",2013-07-31,"Credit reporting","Other","Incorrect information on credit report","Account terms","Other","Other","Equifax","MO","63456","Other","Other","Web",2013-08-06,"Closed with non-monetary relief","Yes","No",480943
